,player,team,pos,mins,mins/st,price,G,xG,xG90,xGOT,xGOT90,Finish_qual,A,xA,xA90,xA_FPL,xA_FPL90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,BigChCr,BigChCr90,BigChMiss,SoT,SoT90,Shots,KeyP,KP90,defcon,defcon90,PensWon,rating,fpl_id,etype
0,Wilson Isidor,Sunderland,FWD,95,0.0,5.5,1,1.49,1.41,0.96,0.91,-0.53,0,0.01,0.01,0.0,0.0,2.0,1.89,1.5,1.49,14.0,13.0,13.0,0.0,13.0,14.2,0,0.0,1,2,1.89,5,0,0.0,3,2.84,1,6.68,553.0,4.0
1,Thierno Barry,Everton,FWD,329,82.0,5.6,1,2.98,0.82,2.0,0.55,-0.98,0,0.14,0.04,0.22,0.06,1.0,0.27,3.12,3.2,14.0,22.3,22.6,1.26,22.6,8.5,0,0.0,4,4,1.09,14,4,1.09,12,3.3,0,6.73,249.0,4.0
2,Erling Haaland,Man City,FWD,360,90.0,15.5,4,3.22,0.81,4.38,1.1,1.16,0,0.51,0.13,0.5,0.12,4.0,1.0,3.72,3.71,32.0,30.4,30.3,1.66,30.3,11.5,1,0.25,3,9,2.25,16,1,0.25,18,4.5,0,7.93,411.0,4.0
3,Bukayo Saka,Arsenal,MID,337,84.0,9.5,3,2.87,0.77,3.19,0.85,0.32,0,0.43,0.11,0.31,0.08,3.0,0.8,3.31,3.19,30.0,30.7,30.3,2.38,29.7,18.4,0,0.0,2,8,2.14,13,4,1.07,29,7.77,1,7.63,12.0,3.0
4,Alexander Isak,Liverpool,FWD,334,83.0,9.1,3,2.79,0.75,2.81,0.76,0.02,0,0.06,0.02,0.11,0.03,3.0,0.81,2.85,2.9,25.0,24.3,24.5,1.28,24.5,8.1,0,0.0,3,6,1.62,12,2,0.54,6,1.62,0,7.43,379.0,4.0
5,Bryan Mbeumo,Man Utd,MID,360,90.0,7.9,2,2.79,0.7,1.92,0.48,-0.87,0,0.55,0.14,0.77,0.19,3.0,0.75,3.35,3.57,23.0,25.6,26.3,1.19,27.5,10.5,1,0.25,4,5,1.25,14,7,1.75,22,5.5,0,6.8,427.0,3.0
6,Phil Foden,Man City,MID,219,64.0,7.0,0,1.61,0.66,0.0,0.0,-1.61,2,0.89,0.37,1.47,0.6,2.0,0.82,2.49,3.08,9.0,13.7,15.5,1.04,16.5,14.0,3,1.23,3,1,0.41,6,7,2.88,14,5.81,0,6.0,398.0,3.0
7,Igor Thiago,Brentford,FWD,353,88.0,7.9,0,2.41,0.61,0.63,0.16,-1.78,0,0.14,0.04,0.09,0.02,0.0,0.0,2.54,2.5,5.0,15.0,14.9,1.15,14.9,2.8,0,0.0,4,3,0.76,10,1,0.25,16,4.09,0,6.38,106.0,4.0
8,Eddie Nketiah,Crystal Palace,FWD,168,56.0,5.5,0,1.1,0.59,1.06,0.57,-0.04,1,0.58,0.31,1.24,0.66,1.0,0.54,1.68,2.34,7.0,10.1,12.1,0.11,12.1,14.5,3,1.61,3,2,1.07,4,4,2.14,11,5.93,0,6.7,224.0,4.0
9,Bruno Fernandes,Man Utd,MID,360,90.0,12.0,3,2.29,0.57,2.45,0.61,0.16,1,0.95,0.24,0.98,0.24,4.0,1.0,3.23,3.26,29.0,25.2,25.3,1.19,26.5,17.5,1,0.25,0,5,1.25,16,9,2.25,23,5.75,0,7.73,426.0,3.0
