,player,team,pos,mins,mins/st,price,CS,Tkl,Int,Clr,defcon,defcon90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,G,xG,xG90,A,xA,xA90,xA_FPL,xA_FPL90,Saves,GK_prevented,rating,fpl_id,etype
0,Marcos Senesi,Spurs,DEF,90,90.0,5.8,0,5,1,8,16,16.0,0.0,0.0,0.02,0.01,3.0,3.1,3.0,0.02,3.1,10.0,0,0.0,0.0,0,0.02,0.02,0.01,0.01,0,0.0,7.6,498.0,2.0
1,Nobel Mendy,Hull City,DEF,253,62.0,4.1,0,7,3,25,39,14.1,1.0,0.36,0.32,0.32,25.0,20.9,20.9,0.31,14.1,20.3,1,0.31,0.11,0,0.01,0.0,0.0,0.0,0,0.0,7.28,586.0,2.0
2,Ousmane Diomande,Nott'm Forest,DEF,91,90.0,5.4,0,1,1,11,14,13.85,0.0,0.0,0.11,0.11,5.0,5.7,5.7,0.44,7.5,12.9,0,0.11,0.11,0,0.0,0.0,0.0,0.0,0,0.0,6.9,581.0,2.0
3,John Egan,Hull City,DEF,360,90.0,4.1,3,7,6,38,55,13.75,0.0,0.0,0.04,0.04,25.0,25.2,25.2,0.98,17.1,17.2,0,0.04,0.01,0,0.01,0.0,0.0,0.0,0,0.0,7.1,277.0,2.0
4,Nordi Mukiele,Sunderland,DEF,270,90.0,5.5,1,9,2,25,39,13.0,0.0,0.0,0.75,0.72,13.0,17.3,17.3,0.84,16.7,13.0,0,0.7,0.23,0,0.05,0.02,0.02,0.01,0,0.0,7.2,533.0,2.0
5,Tarik Muharemović,Leeds,DEF,270,90.0,5.0,1,3,6,25,39,13.0,0.0,0.0,0.11,0.1,14.0,14.6,14.6,0.82,13.9,17.3,0,0.09,0.03,0,0.02,0.01,0.01,0.0,0,0.0,7.07,334.0,2.0
6,Axel Disasi,Crystal Palace,DEF,140,62.0,4.5,0,5,6,7,20,12.95,0.0,0.0,0.04,0.06,1.0,1.1,1.2,0.04,1.4,-3.9,0,0.0,0.0,0,0.04,0.03,0.06,0.04,0,0.0,6.47,153.0,2.0
7,Aaron Wan-Bissaka,Aston Villa,DEF,111,90.0,4.5,0,7,3,5,15,12.62,0.0,0.0,0.06,0.07,5.0,5.2,5.2,0.1,5.6,14.6,0,0.0,0.0,0,0.07,0.06,0.07,0.06,0,0.0,6.8,611.0,2.0
8,Jannik Schuster,Brentford,DEF,163,90.0,4.5,0,2,0,18,22,12.15,0.0,0.0,0.12,0.11,7.0,7.7,7.6,0.35,9.0,8.8,0,0.1,0.06,0,0.02,0.01,0.01,0.01,0,0.0,7.1,93.0,2.0
9,David Affengruber,Fulham,DEF,90,90.0,4.5,1,1,2,9,12,12.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.28,5.1,23.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,6.9,650.0,2.0
10,Wesley Fofana,Chelsea,DEF,244,81.0,5.0,0,5,4,20,32,11.9,0.0,0.0,0.08,0.11,4.0,4.2,4.3,0.62,6.8,8.9,0,0.0,0.0,0,0.07,0.03,0.11,0.04,0,0.0,7.03,145.0,2.0
11,Anan Khalaili,Crystal Palace,DEF,290,85.0,5.0,0,19,5,12,38,11.83,1.0,0.31,1.27,1.18,13.0,13.7,13.4,0.34,14.8,5.9,1,0.96,0.3,0,0.3,0.09,0.22,0.07,0,0.0,7.43,588.0,2.0
12,Ethan Pinnock,Coventry City,DEF,192,90.0,4.5,0,3,2,18,25,11.72,0.0,0.0,0.12,0.12,6.0,6.7,6.7,0.18,7.4,-4.2,0,0.12,0.06,0,0.01,0.0,0.0,0.0,0,0.0,6.3,91.0,2.0
13,Jaka Bijol,Leeds,DEF,164,68.0,5.0,1,3,3,15,21,11.52,0.0,0.0,0.11,0.11,12.0,12.7,12.7,0.52,10.8,15.9,0,0.11,0.06,0,0.0,0.0,0.0,0.0,0,0.0,6.8,327.0,2.0
14,Maxence Lacroix,Chelsea,DEF,281,90.0,6.0,0,9,5,18,35,11.5,1.0,0.32,0.23,0.42,10.0,7.8,8.3,0.64,10.9,6.4,0,0.02,0.01,1,0.21,0.07,0.4,0.13,0,0.0,6.7,200.0,2.0
