fpl_id,gw,mins,G,A,xG,xA,Pts,CS,dc,bps,starts,saves
1,1,90,0,0,0.0,0.0,6,1,0,24,1,1
4,1,90,0,0,0.05,0.01,5,1,4,21,1,0
7,1,90,0,0,0.06,0.11,3,1,7,15,1,0
8,1,80,0,1,0.04,0.09,9,1,5,31,1,0
9,1,9,0,0,0.0,0.0,1,0,0,3,0,0
10,1,90,0,1,0.18,0.21,11,1,5,37,1,0
11,1,90,0,0,0.0,0.0,6,1,6,27,1,0
12,1,67,1,0,0.64,0.08,9,1,7,36,1,0
13,1,67,0,0,0.07,0.08,3,1,6,10,1,0
14,1,14,0,0,0.04,0.0,1,0,2,4,0,0
15,1,75,1,0,0.21,0.1,11,1,8,41,1,0
16,1,22,0,0,0.0,0.04,1,0,2,8,0,0
17,1,14,0,0,0.14,0.02,1,0,2,5,0,0
19,1,22,0,0,0.0,0.02,1,0,3,3,0,0
26,1,90,1,0,0.26,0.03,6,1,2,34,1,0
29,1,90,0,0,0.0,0.0,1,0,0,1,1,3
32,1,90,0,0,0.0,0.0,-1,0,7,-8,1,0
33,1,16,0,0,0.0,0.0,1,0,1,5,0,0
34,1,73,0,0,0.0,0.0,0,0,5,-14,1,0
35,1,16,0,0,0.0,0.0,1,0,1,3,0,0
36,1,81,0,0,0.03,0.0,0,0,9,-9,1,0
37,1,90,0,0,0.0,0.0,-2,0,3,-13,1,0
40,1,81,1,0,0.96,0.1,8,0,7,37,1,0
41,1,85,0,0,0.13,0.09,2,0,7,4,1,0
42,1,27,0,0,0.03,0.02,1,0,1,3,0,0
43,1,66,0,0,0.04,0.11,2,0,5,13,1,0
45,1,81,0,0,0.04,0.01,1,0,6,8,1,0
46,1,73,0,0,0.1,0.02,2,0,1,11,1,0
47,1,90,0,0,0.0,0.0,2,0,7,9,1,0
51,1,90,0,0,0.0,0.0,2,0,5,12,1,0
52,1,8,0,0,0.0,0.0,1,0,3,5,0,0
54,1,39,0,0,0.0,0.01,-2,0,7,-2,1,0
57,1,90,0,0,0.0,0.0,2,0,0,13,1,4
60,1,90,0,0,0.0,0.0,1,0,6,0,1,0
61,1,90,0,0,0.0,0.0,1,0,7,0,1,0
64,1,90,0,0,0.0,0.0,1,0,5,4,1,0
67,1,88,0,0,0.04,0.03,2,0,1,9,1,0
68,1,90,1,0,0.4,0.08,10,0,8,32,1,0
69,1,90,0,0,0.0,0.01,2,0,11,17,1,0
70,1,74,0,0,0.11,0.0,3,1,9,15,1,0
71,1,75,0,0,0.0,0.0,3,1,7,8,1,0
72,1,1,0,0,0.0,0.0,1,0,1,3,0,0
73,1,15,0,0,0.0,0.0,1,0,3,4,0,0
76,1,15,0,0,0.0,0.0,1,0,2,5,0,0
79,1,74,0,1,0.0,0.21,4,1,8,17,1,0
82,1,90,0,0,0.0,0.01,7,1,0,34,1,4
84,1,90,0,0,0.34,0.04,6,1,3,21,1,0
86,1,90,1,0,0.77,0.12,10,1,10,37,1,0
87,1,90,0,0,0.11,0.02,8,1,10,29,1,0
88,1,75,1,0,0.5,0.0,13,1,4,36,1,0
90,1,14,0,0,0.0,0.0,1,0,0,2,0,0
94,1,90,0,0,0.52,0.01,3,1,9,17,1,0
95,1,66,0,0,0.05,0.29,3,1,6,6,1,0
96,1,14,0,0,0.0,0.11,1,0,4,6,0,0
97,1,66,0,1,0.08,0.34,6,1,5,22,1,0
98,1,90,1,0,0.39,0.17,9,1,13,35,1,0
102,1,23,0,0,0.04,0.0,1,0,6,7,0,0
104,1,90,0,0,0.0,0.01,2,0,9,8,1,0
105,1,23,0,0,0.03,0.35,1,0,8,9,0,0
106,1,82,0,0,1.0,0.08,0,1,5,-3,1,0
108,1,7,0,0,0.03,0.04,1,0,0,4,0,0
109,1,90,0,0,0.0,0.0,6,1,0,25,1,0
110,1,90,0,0,0.0,0.01,1,0,0,0,1,2
112,1,90,0,0,0.0,0.03,1,0,9,3,1,0
114,1,90,0,0,0.0,0.04,6,1,6,29,1,0
115,1,77,1,1,1.47,0.21,17,1,4,46,1,0
116,1,90,0,0,0.0,0.04,6,1,2,24,1,0
119,1,26,0,0,0.12,0.0,1,0,4,7,0,0
123,1,63,2,0,1.41,0.02,16,1,3,54,1,0
124,1,90,0,0,0.0,0.27,2,1,5,18,1,0
125,1,90,0,1,0.08,0.44,5,1,7,22,1,0
127,1,85,0,1,0.18,0.48,6,1,6,27,1,0
129,1,63,0,0,0.11,0.03,2,1,4,8,1,0
130,1,77,0,0,0.09,0.05,7,1,8,32,1,0
135,1,12,0,0,0.0,0.03,1,0,0,3,0,0
138,1,26,0,0,0.18,0.0,1,0,2,-1,0,0
140,1,90,0,0,0.0,0.01,2,0,0,6,1,4
142,1,90,0,0,0.1,0.07,0,0,6,5,1,0
144,1,75,0,0,0.0,0.03,1,0,3,2,1,0
148,1,64,0,0,0.01,0.03,1,0,3,5,1,0
149,1,90,0,0,0.01,0.03,0,0,4,6,1,0
151,1,90,0,0,0.0,0.01,3,0,15,13,1,0
154,1,82,1,1,0.28,0.19,13,0,9,60,1,0
155,1,25,0,0,0.0,0.02,1,0,3,6,0,0
156,1,14,0,0,0.03,0.07,1,0,4,9,0,0
157,1,7,0,0,0.0,0.0,1,0,1,3,0,0
160,1,4,0,0,0.0,0.0,1,0,0,2,0,0
161,1,64,0,0,0.21,0.03,1,0,9,8,1,0
162,1,66,0,0,0.0,0.23,2,0,9,17,1,0
164,1,8,0,0,0.0,0.0,1,0,1,2,0,0
165,1,90,1,1,0.63,0.06,11,0,3,45,1,0
173,1,90,0,0,0.02,0.01,3,0,10,11,1,0
175,1,90,0,0,0.0,0.01,1,0,7,-8,1,0
176,1,90,0,0,0.0,0.02,1,0,6,-4,1,0
182,1,90,0,0,0.0,0.01,1,0,9,1,1,0
183,1,20,0,0,0.15,0.0,1,0,5,3,0,0
184,1,90,0,0,0.0,0.01,2,0,7,14,1,0
188,1,28,0,0,0.0,0.11,1,0,1,8,0,0
190,1,81,0,0,0.04,0.02,2,0,8,11,1,0
194,1,69,0,0,0.0,0.02,2,0,6,9,1,0
195,1,69,0,0,0.0,0.01,2,0,3,7,1,0
198,1,90,0,0,0.0,0.0,2,0,0,14,1,3
200,1,90,0,1,0.0,0.2,6,0,12,25,1,0
201,1,54,0,0,0.23,0.01,0,0,4,-4,1,0
202,1,90,0,0,0.0,0.0,3,0,16,13,1,0
203,1,90,0,0,0.05,0.01,1,0,8,9,1,0
204,1,90,0,0,0.0,0.01,1,0,5,9,1,0
206,1,72,0,0,0.0,0.01,1,0,7,7,1,0
209,1,6,0,0,0.0,0.0,1,0,2,3,0,0
210,1,90,0,0,0.0,0.24,4,0,14,20,1,0
211,1,35,0,0,0.06,0.02,1,0,5,4,0,0
214,1,90,0,0,0.0,0.27,3,0,14,25,1,0
222,1,27,0,0,0.25,0.01,1,0,0,3,0,0
223,1,62,0,0,0.7,0.02,2,0,5,-3,1,0
224,1,55,0,0,0.6,0.58,1,0,3,12,1,0
226,1,90,0,0,0.0,0.02,7,1,0,34,1,4
229,1,90,0,0,0.05,0.0,6,1,9,25,1,0
230,1,90,0,0,0.0,0.01,6,1,8,27,1,0
233,1,90,0,0,0.0,0.05,6,1,4,27,1,0
236,1,90,1,0,0.12,0.17,11,1,8,40,1,0
237,1,90,0,1,0.24,0.32,9,1,12,36,1,0
238,1,8,0,0,0.0,0.0,1,0,1,2,0,0
239,1,11,0,0,0.0,0.03,1,0,1,6,0,0
241,1,62,0,0,0.05,0.02,2,0,5,11,1,0
242,1,83,0,0,0.18,0.08,3,1,7,13,1,0
243,1,1,0,0,0.02,0.0,1,0,3,7,0,0
244,1,90,0,1,0.0,0.04,8,1,16,25,1,0
246,1,90,0,0,0.0,0.06,3,1,9,12,1,0
247,1,78,0,0,0.01,0.01,3,1,7,16,1,0
248,1,11,0,0,0.05,0.0,1,0,0,3,0,0
249,1,78,1,0,0.45,0.09,8,1,3,37,1,0
250,1,90,0,0,0.0,0.0,2,0,0,11,1,3
254,1,81,0,0,0.13,0.04,1,0,7,4,1,0
255,1,90,0,0,0.0,0.03,3,0,10,7,1,0
257,1,90,0,0,0.02,0.02,0,0,4,1,1,0
258,1,90,0,2,0.09,0.18,6,0,6,21,1,0
259,1,90,0,0,0.0,0.01,2,0,5,7,1,0
260,1,65,0,0,0.0,0.02,3,1,2,8,1,0
261,1,90,0,0,0.0,0.04,2,0,10,17,1,0
263,1,17,0,0,0.0,0.01,1,0,3,2,0,0
264,1,66,0,0,0.0,0.26,2,0,6,10,1,0
265,1,72,0,0,0.03,0.03,2,0,4,14,1,0
267,1,90,0,1,0.0,0.02,5,0,6,22,1,0
268,1,90,1,0,0.17,0.04,7,0,8,34,1,0
269,1,17,0,0,0.03,0.0,1,0,1,7,0,0
271,1,8,0,0,0.02,0.0,1,0,1,6,0,0
277,1,90,0,0,0.0,0.0,8,1,21,27,1,0
279,1,63,1,0,0.52,0.0,14,1,7,39,1,0
280,1,69,0,0,0.0,0.01,6,1,2,23,1,0
281,1,20,0,0,0.05,0.0,1,0,3,4,0,0
282,1,84,0,0,0.02,0.07,6,1,6,24,1,0
285,1,26,0,0,0.0,0.0,1,0,2,3,0,0
286,1,90,0,0,0.05,0.03,3,1,10,8,1,0
287,1,19,0,0,0.0,0.0,0,0,3,2,0,0
289,1,90,0,0,0.0,0.0,2,1,9,9,1,0
290,1,90,0,1,0.0,0.44,6,1,3,20,1,0
295,1,90,0,1,0.16,0.01,5,1,5,21,1,0
304,1,90,0,0,0.0,0.16,4,0,18,16,1,0
305,1,90,0,0,0.0,0.01,2,0,7,10,1,0
306,1,90,0,0,0.0,0.0,2,0,7,12,1,0
309,1,79,0,0,0.03,0.03,4,0,12,26,1,0
313,1,19,1,0,0.1,0.0,7,0,2,27,0,0
315,1,65,0,0,0.0,0.41,2,0,7,22,1,0
316,1,65,1,0,0.82,0.06,9,0,3,41,1,0
320,1,24,0,0,0.0,0.0,1,0,3,3,0,0
321,1,10,0,0,0.0,0.0,1,0,0,3,0,0
323,1,24,0,0,0.0,0.0,1,0,3,4,0,0
327,1,90,0,0,0.11,0.0,10,1,12,28,1,0
329,1,90,0,0,0.03,0.06,6,1,7,21,1,0
330,1,90,0,0,0.0,0.0,6,1,3,24,1,0
332,1,90,0,0,0.0,0.01,10,1,12,28,1,0
334,1,90,0,0,0.09,0.0,6,1,7,25,1,0
335,1,90,1,0,0.1,0.05,13,1,16,37,1,0
336,1,24,0,0,0.0,0.16,1,0,5,10,0,0
337,1,81,0,0,0.01,0.01,3,1,7,16,1,0
338,1,90,0,0,0.0,0.04,5,1,13,18,1,0
339,1,8,0,0,0.0,0.0,1,0,0,3,0,0
346,1,90,0,0,0.13,0.0,1,1,2,-2,1,0
350,1,90,0,0,0.0,0.0,2,0,0,7,1,3
356,1,90,0,0,0.25,0.01,2,0,11,8,1,0
357,1,90,0,0,0.01,0.09,0,0,2,3,1,0
358,1,90,0,0,0.02,0.02,0,0,7,3,1,0
362,1,69,0,0,0.0,0.02,1,0,3,9,1,0
366,1,62,0,0,0.26,0.04,2,0,5,16,1,0
367,1,90,1,0,0.3,0.15,12,0,12,33,1,0
368,1,90,1,0,0.85,0.27,8,0,7,29,1,0
369,1,62,0,0,0.04,0.02,2,0,3,9,1,0
371,1,77,0,1,0.06,0.05,5,0,11,26,1,0
372,1,27,0,0,0.0,0.01,1,0,3,9,0,0
377,1,27,0,1,0.1,0.04,4,0,0,15,0,0
379,1,90,0,0,1.09,0.01,2,0,1,6,1,0
381,1,12,0,0,0.03,0.0,1,0,1,4,0,0
384,1,90,0,0,0.0,0.0,3,0,0,12,1,3
385,1,90,0,0,0.0,0.0,9,1,0,28,1,3
387,1,62,0,0,0.07,0.41,2,0,2,5,1,0
388,1,90,1,0,0.89,0.32,10,0,4,31,1,0
389,1,33,0,0,0.0,0.04,1,0,1,4,0,0
390,1,90,0,0,0.0,0.14,2,0,6,11,1,0
391,1,90,1,0,0.19,0.05,9,0,7,28,1,0
393,1,90,0,0,0.0,0.02,2,0,4,14,1,0
395,1,56,0,0,0.17,0.02,1,0,2,-1,1,0
397,1,90,0,0,0.06,0.02,2,0,5,16,1,0
398,1,81,0,0,0.12,0.4,1,0,6,15,1,0
399,1,27,0,2,0.0,0.5,8,0,0,28,0,0
406,1,27,0,0,0.0,0.01,1,0,2,3,0,0
411,1,90,0,0,0.74,0.02,2,0,3,6,1,0
412,1,90,0,0,0.0,0.0,1,0,0,7,1,2
415,1,45,0,0,0.47,0.03,0,0,1,-11,1,0
417,1,10,0,0,0.0,0.0,1,0,3,6,0,0
418,1,90,0,0,0.04,0.4,1,0,4,15,1,0
421,1,90,0,0,0.12,0.04,1,0,2,5,1,0
422,1,79,0,0,0.22,0.05,1,0,5,8,1,0
423,1,90,0,0,0.0,0.26,1,0,4,13,1,0
426,1,90,0,0,0.08,0.26,2,0,6,18,1,0
427,1,90,0,0,0.5,0.23,2,0,4,12,1,0
428,1,79,0,0,0.24,0.21,2,0,3,14,1,0
429,1,45,0,0,0.0,0.1,1,0,1,9,0,0
432,1,23,0,0,0.07,0.01,1,0,1,7,0,0
435,1,10,0,0,0.0,0.0,1,0,1,3,0,0
439,1,23,0,0,0.04,0.0,1,0,0,2,0,0
