gw,team,name,mins,rating,sot,shots,bcc,bcm,kp,xg,xa,g,a,tkl,intc,clr,saves,gprev,penWon,player,fpl_id,fpl_mins,fG,fA,fxg,fxa,Pts,CS,dc,bps,fpl_saves,team_xga,xgot,starts
1,Arsenal,Ben White,90,7.8,0,1,0,0,2,0.177,0.209544,0,1,1,1,3,0,0.0,0,Ben White,10,90,0,1,0.18,0.21,11,1,5,37,0,0.2,0.0,1
1,Arsenal,Bukayo Saka,68,7.9,1,3,0,0,2,0.6432,0.0763784,1,0,1,0,2,0,0.0,0,Bukayo Saka,12,67,1,0,0.64,0.08,9,1,7,36,0,0.2,0.9872,1
1,Arsenal,Christos Tzolis,76,7.5,2,4,0,0,3,0.1935,0.142753,0,0,1,0,2,0,0.0,0,Christos Tzolis,557,75,0,1,0.19,0.14,6,1,6,30,0,0.2,0.0403,1
1,Arsenal,Cristhian Mosquera,90,6.8,0,0,0,0,0,0.0,0.00332523,0,0,0,1,5,0,0.0,0,Cristhian Mosquera,11,90,0,0,0.0,0.0,6,1,6,27,0,0.2,0.0,1
1,Arsenal,David Raya,90,7.0,0,0,0,0,0,0.0,0.00135718,0,0,0,0,1,1,0.0369,0,David Raya,1,90,0,0,0.0,0.0,6,1,0,24,1,0.2,0.0,1
1,Arsenal,Declan Rice,68,7.4,0,2,0,0,0,0.0728,0.0765014,0,0,0,1,2,0,0.0,0,Declan Rice,13,67,0,0,0.07,0.08,3,1,6,10,0,0.2,0.0,1
1,Arsenal,Eberechi Eze,14,6.6,0,1,0,0,0,0.0377,0.00445735,0,0,0,0,0,0,0.0,0,Eberechi Eze,14,14,0,0,0.04,0.0,1,0,2,4,0,0.2,0.0,0
1,Arsenal,Gabriel Magalhães,90,6.4,0,1,0,0,0,0.0467,0.00931741,0,0,0,1,3,0,0.0,0,Gabriel Magalhães,4,90,0,0,0.05,0.01,5,1,4,21,0,0.2,0.0,1
1,Arsenal,Kai Havertz,90,7.6,1,1,0,0,1,0.2608,0.0259355,1,0,0,1,1,0,0.0,0,Kai Havertz,26,90,1,0,0.26,0.03,6,1,2,34,0,0.2,0.8716,1
1,Arsenal,Martin Ødegaard,76,8.4,1,3,0,0,3,0.2051,0.0978893,1,0,3,0,1,0,0.0,0,Martin Ødegaard,15,75,1,0,0.21,0.1,11,1,8,41,0,0.2,0.1556,1
1,Arsenal,Martín Zubimendi,22,6.8,0,0,0,0,0,0.0,0.0182997,0,0,1,0,0,0,0.0,0,Martín Zubimendi,19,22,0,0,0.0,0.02,1,0,3,3,0,0.2,0.0,0
1,Arsenal,Mikel Merino,14,6.9,1,2,0,0,0,0.1449,0.0176677,0,0,0,0,0,0,0.0,0,Mikel Merino,17,14,0,0,0.14,0.02,1,0,2,5,0,0.2,0.3823,0
1,Arsenal,Myles Lewis-Skelly,90,7.5,0,1,0,0,1,0.057,0.106674,0,0,1,0,0,0,0.0,0,Myles Lewis-Skelly,7,90,0,0,0.06,0.11,3,1,7,15,0,0.2,0.0,1
1,Arsenal,Noni Madueke,22,6.9,0,0,0,0,4,0.0,0.0413811,0,0,0,0,0,0,0.0,0,Noni Madueke,16,22,0,0,0.0,0.04,1,0,2,8,0,0.2,0.0,0
1,Arsenal,Piero Hincapié,9,6.6,0,0,0,0,0,0.0,0.00275861,0,0,0,0,0,0,0.0,0,Piero Hincapié,9,9,0,0,0.0,0.0,1,0,0,3,0,0.2,0.0,0
1,Arsenal,Riccardo Calafiori,81,7.2,0,1,0,0,1,0.0434,0.0937923,0,1,1,0,4,0,0.0,0,Riccardo Calafiori,8,80,0,1,0.04,0.09,9,1,5,31,0,0.2,0.0,1
1,Aston Villa,Alejandro Garnacho,9,6.3,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,Alejandro Garnacho,160,4,0,0,0.0,0.0,1,0,0,2,0,3.77,0.0,0
1,Aston Villa,Alysson,8,6.6,0,0,0,0,0,0.0,0.0,0,0,1,0,1,0,0.0,0,Alysson,52,8,0,0,0.0,0.0,1,0,3,5,0,3.77,0.0,0
1,Aston Villa,Boubacar Kamara,90,6.2,0,0,0,0,0,0.0,0.00155115,0,0,2,1,1,0,0.0,0,Boubacar Kamara,47,90,0,0,0.0,0.0,2,0,7,9,0,3.77,0.0,1
1,Aston Villa,Emiliano Buendía,86,6.6,0,3,0,0,1,0.1287,0.0876847,0,0,1,2,1,0,0.0,0,Emiliano Buendía,41,85,0,0,0.13,0.09,2,0,7,4,0,3.77,0.0,1
1,Aston Villa,George Hemmings,90,6.4,0,0,0,0,1,0.0,0.00144232,0,0,3,0,0,0,0.0,0,George Hemmings,51,90,0,0,0.0,0.0,2,0,5,12,0,3.77,0.0,1
1,Aston Villa,Ian Maatsen,82,5.4,0,1,0,0,0,0.0261,0.00294576,0,0,2,2,5,0,0.0,0,Ian Maatsen,36,81,0,0,0.03,0.0,0,0,9,-9,0,3.77,0.0,1
1,Aston Villa,John McGinn,82,6.2,0,1,0,0,0,0.0355,0.00526405,0,0,1,1,1,0,0.0,0,John McGinn,45,81,0,0,0.04,0.01,1,0,6,8,0,3.77,0.0,1
1,Aston Villa,João Gomes,40,5.0,0,0,0,0,1,0.0,0.00575291,0,0,4,0,1,0,0.0,0,João Gomes,54,39,0,0,0.0,0.01,-2,0,7,-2,0,3.77,0.0,1
1,Aston Villa,Lamare Bogarde,16,6.7,0,0,0,0,0,0.0,0.00161103,0,0,0,0,1,0,0.0,0,Lamare Bogarde,35,16,0,0,0.0,0.0,1,0,1,3,0,3.77,0.0,0
1,Aston Villa,Marco Bizot,90,6.4,0,0,0,0,0,0.0,0.00102939,0,0,0,0,2,3,-0.4111,0,Marco Bizot,29,90,0,0,0.0,0.0,1,0,0,1,3,3.77,0.0,1
1,Aston Villa,Matteo Ruggeri,8,6.9,0,0,0,0,0,0.0,0.00011302,0,0,2,0,0,0,0.0,0,Matteo Ruggeri,596,8,0,0,0.0,0.0,1,0,2,3,0,3.77,0.0,0
