,team,GP,GC,xGC,xGOT_conc,GK_prevented,BigCh_conc,SoT_ag,Shots_ag,BoxShots_ag,CS,xCS,Err→Goal,Err→Shot,Pens_conc,xGC/g
1,Arsenal,4,1,2.72,2.04,1.04,4,9,36,16,3,2.38,0,4,1,0.68
2,Man City,4,2,3.63,3.78,1.78,8,11,42,24,2,1.66,0,3,0,0.91
3,Nott'm Forest,4,4,4.1,3.84,-0.16,5,12,42,28,1,1.59,0,1,0,1.02
4,Man Utd,4,7,5.07,6.45,-0.55,10,17,41,27,0,1.19,1,1,0,1.27
5,Bournemouth,4,7,5.3,5.98,-1.02,10,17,42,29,0,1.36,1,2,0,1.32
6,Liverpool,4,4,5.33,4.01,0.01,9,16,49,29,2,1.28,0,4,1,1.33
7,Brentford,4,4,5.49,4.32,0.32,10,21,55,30,1,1.15,0,2,1,1.37
8,Everton,4,3,5.5,4.02,1.02,12,14,56,35,2,1.26,0,2,0,1.38
9,Sunderland,4,5,5.84,4.62,-0.38,10,10,44,30,1,1.0,2,1,1,1.46
10,Hull City,4,2,5.96,3.74,1.74,7,16,57,38,3,0.98,2,0,0,1.49
11,Leeds,3,2,4.52,1.82,-0.18,6,12,54,34,1,0.82,0,0,0,1.51
12,Chelsea,4,9,6.17,7.33,-1.67,15,26,59,42,0,0.89,2,3,0,1.54
13,Spurs,4,5,6.62,4.51,-0.49,10,15,61,41,2,1.24,1,4,1,1.66
14,Ipswich Town,4,10,6.74,7.49,-2.51,12,26,65,38,0,1.56,1,1,1,1.68
15,Brighton,4,5,7.04,6.43,1.43,12,17,47,39,2,1.15,1,5,0,1.76
16,Newcastle,3,4,5.47,5.87,1.87,7,18,61,35,1,0.63,0,7,1,1.82
17,Fulham,4,7,7.51,6.81,-0.19,18,18,54,38,1,0.66,1,3,0,1.88
18,Coventry City,4,10,7.53,7.99,-2.01,9,19,63,40,0,0.82,1,4,1,1.88
19,Aston Villa,4,7,7.66,6.9,-0.1,15,19,61,38,1,1.04,2,7,0,1.92
20,Crystal Palace,4,11,8.15,10.36,-0.64,11,26,71,54,0,0.67,2,4,0,2.04
